"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.5722,0.13684,0.31762,9.5706,0.13851,0.31611,5.935,1,1.6156,12.296,12.25,6.845
9.5702,0.13765,0.3192,9.5686,0.13935,0.31768,5.9551,1,1.6257,12.306,12.25,6.845
9.5683,0.13846,0.32079,9.5666,0.14018,0.31925,5.9752,1,1.6357,12.316,12.25,6.845
9.5663,0.13927,0.32238,9.5646,0.14102,0.32082,5.9953,1,1.6457,12.326,12.25,6.845
9.5644,0.14008,0.32397,9.5627,0.14186,0.32238,6.0154,1,1.6558,12.336,12.25,6.845
9.5624,0.14088,0.32555,9.5607,0.1427,0.32395,6.0355,1,1.6658,12.346,12.25,6.845
9.5605,0.14169,0.32714,9.5587,0.14354,0.32552,6.0556,1,1.6758,12.356,12.25,6.845
9.5586,0.1425,0.32873,9.5567,0.14438,0.32709,6.0757,1,1.6859,12.366,12.25,6.845
9.5565,0.14321,0.33034,9.5547,0.14511,0.32868,6.0959,1,1.6959,12.376,12.25,6.845
9.5544,0.14403,0.33206,9.5526,0.14596,0.33038,6.1175,1,1.7059,12.386,12.25,6.845
9.5523,0.14494,0.33387,9.5504,0.14691,0.33216,6.1403,1,1.716,12.396,12.25,6.845
9.5502,0.14585,0.33567,9.5482,0.14787,0.33394,6.1632,1,1.726,12.406,12.25,6.845
9.548,0.14677,0.33747,9.546,0.14882,0.33572,6.186,1,1.7361,12.416,12.25,6.845
9.5459,0.14768,0.33928,9.5438,0.14977,0.3375,6.2088,1,1.7461,12.426,12.25,6.845
9.5437,0.14859,0.34108,9.5416,0.15073,0.33928,6.2317,1,1.7561,12.436,12.25,6.845
9.5416,0.1495,0.34288,9.5394,0.15168,0.34106,6.2545,1,1.7662,12.446,12.25,6.845
9.5394,0.15042,0.34469,9.5373,0.15263,0.34283,6.2773,1,1.7762,12.456,12.25,6.845
9.5373,0.15133,0.34649,9.5351,0.15359,0.34461,6.3001,1,1.7862,12.466,12.25,6.845
9.5352,0.15224,0.3483,9.5329,0.15454,0.34639,6.323,1,1.7963,12.476,12.25,6.845
9.533,0.15316,0.3501,9.5307,0.1555,0.34817,6.3458,1,1.8063,12.486,12.25,6.845
9.5309,0.15407,0.3519,9.5285,0.15645,0.34995,6.3686,1,1.8163,12.496,12.25,6.845
9.5287,0.15498,0.35371,9.5263,0.1574,0.35173,6.3915,1,1.8264,12.506,12.25,6.845
9.5266,0.15589,0.35551,9.5241,0.15836,0.35351,6.4143,1,1.8364,12.516,12.25,6.845
9.5244,0.15681,0.35731,9.522,0.15931,0.35529,6.4371,1,1.8464,12.526,12.25,6.845
9.5223,0.15772,0.35912,9.5198,0.16026,0.35706,6.4599,1,1.8565,12.536,12.25,6.845
9.5201,0.1586,0.36093,9.5176,0.16118,0.35885,6.4827,1,1.8665,12.547,12.25,6.845
9.5179,0.15937,0.36276,9.5153,0.16199,0.36067,6.5054,1,1.8765,12.557,12.25,6.845
9.5155,0.1604,0.36482,9.5128,0.16307,0.36269,6.5316,1,1.8866,12.567,12.25,6.845
9.5131,0.16144,0.36689,9.5104,0.16417,0.36473,6.5578,1,1.8966,12.577,12.25,6.845
9.5108,0.16247,0.36895,9.508,0.16526,0.36676,6.5841,1,1.9066,12.587,12.25,6.845
9.5084,0.16351,0.37102,9.5055,0.16635,0.36879,6.6104,1,1.9167,12.597,12.25,6.845
9.506,0.16454,0.37309,9.5031,0.16745,0.37083,6.6367,1,1.9267,12.607,12.25,6.845
9.5037,0.16558,0.37515,9.5007,0.16854,0.37286,6.6629,1,1.9368,12.617,12.25,6.845
9.5013,0.16661,0.37722,9.4982,0.16963,0.3749,6.6892,1,1.9468,12.627,12.25,6.845
9.4989,0.16765,0.37928,9.4958,0.17073,0.37693,6.7155,1,1.9568,12.637,12.25,6.845
9.4965,0.16868,0.38135,9.4934,0.17182,0.37896,6.7417,1,1.9669,12.647,12.25,6.845
9.4942,0.16972,0.38342,9.4909,0.17291,0.381,6.768,1,1.9769,12.657,12.25,6.845
9.4918,0.17075,0.38548,9.4885,0.17401,0.38303,6.7943,1,1.9869,12.667,12.25,6.845
9.4894,0.17179,0.38755,9.4861,0.1751,0.38507,6.8206,1,1.997,12.677,12.25,6.845
9.487,0.17283,0.38961,9.4836,0.17619,0.3871,6.8468,1,2.007,12.687,12.25,6.845
9.4847,0.17386,0.39168,9.4812,0.17729,0.38913,6.8731,1,2.017,12.697,12.25,6.845
9.4823,0.1749,0.39375,9.4788,0.17838,0.39117,6.8994,1,2.0271,12.707,12.25,6.845
9.4799,0.17593,0.39581,9.4763,0.17947,0.3932,6.9256,1,2.0371,12.717,12.25,6.845
9.4775,0.17692,0.39789,9.4738,0.18052,0.39525,6.9518,1,2.0471,12.727,12.25,6.845
9.475,0.1778,0.39999,9.4713,0.18145,0.39732,6.9777,1,2.0572,12.737,12.25,6.845
9.4724,0.17897,0.40236,9.4686,0.1827,0.39966,7.0082,1,2.0672,12.747,12.25,6.845
9.4697,0.18015,0.40475,9.4658,0.18396,0.402,7.0389,1,2.0772,12.757,12.25,6.845
9.4671,0.18133,0.40714,9.4631,0.18522,0.40435,7.0697,1,2.0873,12.767,12.25,6.845
9.4644,0.18251,0.40953,9.4604,0.18649,0.4067,7.1004,1,2.0973,12.777,12.25,6.845
9.4618,0.18369,0.41192,9.4576,0.18775,0.40904,7.1311,1,2.1073,12.787,12.25,6.845
9.4591,0.18488,0.41431,9.4549,0.18902,0.41139,7.1618,1,2.1174,12.797,12.25,6.845
9.4565,0.18606,0.41669,9.4521,0.19028,0.41374,7.1926,1,2.1274,12.807,12.25,6.845
9.4538,0.18724,0.41908,9.4494,0.19155,0.41609,7.2233,1,2.1375,12.817,12.25,6.845
9.4512,0.18842,0.42147,9.4467,0.19281,0.41843,7.254,1,2.1475,12.827,12.25,6.845
9.4486,0.1896,0.42386,9.4439,0.19407,0.42078,7.2847,1,2.1575,12.838,12.25,6.845
9.4459,0.19078,0.42625,9.4412,0.19534,0.42313,7.3155,1,2.1676,12.848,12.25,6.845
9.4433,0.19196,0.42864,9.4385,0.1966,0.42548,7.3462,1,2.1776,12.858,12.25,6.845
9.4406,0.19314,0.43103,9.4357,0.19787,0.42782,7.3769,1,2.1876,12.868,12.25,6.845
9.438,0.19432,0.43341,9.433,0.19913,0.43017,7.4076,1,2.1977,12.878,12.25,6.845
9.4353,0.1955,0.4358,9.4303,0.2004,0.43252,7.4384,1,2.2077,12.888,12.25,6.845
9.4327,0.19668,0.43819,9.4275,0.20166,0.43486,7.4691,1,2.2177,12.898,12.25,6.845
