"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.2428,0.24494,-0.20367,9.2423,0.24191,-0.20509,10.144,1,1.6156,12.296,12.25,3.155
9.2397,0.24629,-0.20574,9.2391,0.24321,-0.20717,10.176,1,1.6257,12.306,12.25,3.155
9.2366,0.24765,-0.2078,9.2359,0.24452,-0.20925,10.208,1,1.6357,12.316,12.25,3.155
9.2333,0.24887,-0.20989,9.2327,0.24569,-0.21137,10.241,1,1.6457,12.326,12.25,3.155
9.23,0.25029,-0.21213,9.2293,0.24707,-0.21363,10.275,1,1.6558,12.336,12.25,3.155
9.2266,0.25176,-0.2144,9.2259,0.24848,-0.21592,10.309,1,1.6658,12.346,12.25,3.155
9.2233,0.25323,-0.21666,9.2225,0.2499,-0.21821,10.343,1,1.6758,12.356,12.25,3.155
9.22,0.2547,-0.21892,9.2192,0.25132,-0.22049,10.378,1,1.6859,12.366,12.25,3.155
9.2166,0.25617,-0.22119,9.2158,0.25274,-0.22278,10.412,1,1.6959,12.376,12.25,3.155
9.2133,0.25764,-0.22345,9.2124,0.25415,-0.22507,10.446,1,1.7059,12.386,12.25,3.155
9.2099,0.25911,-0.22571,9.209,0.25557,-0.22736,10.481,1,1.716,12.396,12.25,3.155
9.2066,0.26058,-0.22797,9.2057,0.25699,-0.22965,10.515,1,1.726,12.406,12.25,3.155
9.2033,0.26206,-0.23024,9.2023,0.25841,-0.23193,10.549,1,1.7361,12.416,12.25,3.155
9.1999,0.26353,-0.2325,9.1989,0.25982,-0.23422,10.584,1,1.7461,12.426,12.25,3.155
9.1966,0.26498,-0.23477,9.1955,0.26123,-0.23651,10.618,1,1.7561,12.436,12.25,3.155
9.1931,0.26632,-0.23711,9.192,0.2625,-0.23888,10.655,1,1.7662,12.446,12.25,3.155
9.1895,0.26792,-0.2396,9.1884,0.26404,-0.2414,10.692,1,1.7762,12.456,12.25,3.155
9.1859,0.26952,-0.24208,9.1848,0.26558,-0.24392,10.729,1,1.7862,12.466,12.25,3.155
9.1824,0.27113,-0.24457,9.1811,0.26712,-0.24644,10.767,1,1.7963,12.476,12.25,3.155
9.1788,0.27273,-0.24706,9.1775,0.26866,-0.24896,10.804,1,1.8063,12.486,12.25,3.155
9.1752,0.27434,-0.24954,9.1739,0.27019,-0.25148,10.841,1,1.8163,12.496,12.25,3.155
9.1717,0.27594,-0.25203,9.1703,0.27173,-0.25399,10.878,1,1.8264,12.506,12.25,3.155
9.1681,0.27755,-0.25452,9.1667,0.27327,-0.25651,10.916,1,1.8364,12.516,12.25,3.155
9.1645,0.27915,-0.257,9.1631,0.27481,-0.25903,10.953,1,1.8464,12.526,12.25,3.155
9.161,0.28075,-0.25949,9.1595,0.27635,-0.26155,10.99,1,1.8565,12.536,12.25,3.155
9.1574,0.28236,-0.26198,9.1559,0.27789,-0.26407,11.027,1,1.8665,12.547,12.25,3.155
9.1538,0.28391,-0.26448,9.1522,0.27937,-0.2666,11.065,1,1.8765,12.557,12.25,3.155
9.15,0.28543,-0.26709,9.1484,0.28082,-0.26925,11.105,1,1.8866,12.567,12.25,3.155
9.1462,0.28719,-0.26983,9.1445,0.28249,-0.27203,11.146,1,1.8966,12.577,12.25,3.155
