"nut","k","p","omega","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.34958e-01,4.28954e+00,-4.81842e+00,7.99715e+00,3.74243e+00,3.02975e-02,-3.05944e-01,1,8.93115e+00,1.66112e+01,1.10550e+01,6.84500e+00
5.38346e-01,4.29591e+00,-4.69716e+00,7.96087e+00,3.76763e+00,3.01623e-02,-3.13913e-01,1,9.03150e+00,1.67115e+01,1.10550e+01,6.84500e+00
5.41646e-01,4.30151e+00,-4.57693e+00,7.92488e+00,3.79278e+00,3.00018e-02,-3.21104e-01,1,9.13185e+00,1.68118e+01,1.10550e+01,6.84500e+00
5.44881e-01,4.30655e+00,-4.45763e+00,7.88905e+00,3.81792e+00,2.98243e-02,-3.27782e-01,1,9.23220e+00,1.69122e+01,1.10550e+01,6.84500e+00
5.48049e-01,4.31101e+00,-4.33928e+00,7.85339e+00,3.84306e+00,2.96298e-02,-3.33938e-01,1,9.33255e+00,1.70126e+01,1.10550e+01,6.84500e+00
5.51120e-01,4.31461e+00,-4.22260e+00,7.81793e+00,3.86822e+00,2.94133e-02,-3.39398e-01,1,9.43290e+00,1.71129e+01,1.10550e+01,6.84500e+00
5.54146e-01,4.31783e+00,-4.10666e+00,7.78255e+00,3.89337e+00,2.91872e-02,-3.44551e-01,1,9.53325e+00,1.72132e+01,1.10550e+01,6.84500e+00
5.57044e-01,4.31992e+00,-3.99319e+00,7.74737e+00,3.91857e+00,2.89375e-02,-3.48891e-01,1,9.63360e+00,1.73136e+01,1.10550e+01,6.84500e+00
5.59919e-01,4.32182e+00,-3.88015e+00,7.71224e+00,3.94378e+00,2.86838e-02,-3.53090e-01,1,9.73395e+00,1.74139e+01,1.10550e+01,6.84500e+00
5.62640e-01,4.32239e+00,-3.77037e+00,7.67731e+00,3.96903e+00,2.84080e-02,-3.56425e-01,1,9.83430e+00,1.75143e+01,1.10550e+01,6.84500e+00
5.65349e-01,4.32285e+00,-3.66085e+00,7.64240e+00,3.99430e+00,2.81309e-02,-3.59699e-01,1,9.93465e+00,1.76147e+01,1.10550e+01,6.84500e+00
5.67899e-01,4.32197e+00,-3.55496e+00,7.60769e+00,4.01961e+00,2.78368e-02,-3.62179e-01,1,1.00350e+01,1.77150e+01,1.10550e+01,6.84500e+00
